	 INDICES

Ordre des indices bruts et normalisés : 
	centralité de degré /centralité de vecteur propre / centralité de proximité / centralité intermediarité

sommet 0 : 3   0.1875	0.25509   0.0159431			0.000823045   0.0131687		0   0
sommet 1 : 3   0.1875	0.246861   0.0154288			0.000897666   0.0143627		0   0
sommet 2 : 2   0.125	0.102859   0.00642868			0.000631712   0.0101074		0   0
sommet 3 : 4   0.25	0.246861   0.0154288			0.000747384   0.0119581		0   0
sommet 4 : 8   0.5	0.543095   0.0339434			0.00102145   0.0163432		0   0
sommet 5 : 4   0.25	0.304462   0.0190289			0.000998004   0.0159681		0   0
sommet 6 : 2   0.125	0.16046   0.0100287			0.000994036   0.0159046		0   0
sommet 7 : 3   0.1875	0.148117   0.0092573			0.000704722   0.0112755		0   0
sommet 8 : 3   0.1875	0.181032   0.0113145			0.000831255   0.0133001		0   0
sommet 9 : 3   0.1875	0.230404   0.0144002			0.00110988   0.017758		0   0
sommet 10 : 4   0.25	0.308577   0.019286			0.00147059   0.0235294		0   0
sommet 11 : 5   0.3125	0.345606   0.0216004			0.00194932   0.0311891		0   0
sommet 12 : 2   0.125	0.0864015   0.00540009			0.00116822   0.0186916		0   0
sommet 13 : 3   0.1875	0.127545   0.00797156			0.00163666   0.0261866		0   0
sommet 14 : 3   0.1875	0.148117   0.0092573			0.00271739   0.0434783		0   0
sommet 15 : 3   0.1875	0.139888   0.00874301			0.00502513   0.080402		0   0
sommet 16 : 1   0.0625	0.0370292   0.00231432			0.00502513   0.080402		0   0

